filename,case_name,citation,catchword,area_of_law,topic,subtopic,primary_statute,is_criminal,taxonomy_key,pdf_url
2016_SGHC_56.pdf,[2016] SGHC 56,[2016] SGHC 56,Evidence — Witnesses — Impeaching witness’ credibility,Evidence,Witnesses,Witness testimony,Evidence Act,False,Evidence — Witnesses,https://www.elitigation.sg/gd/gd/2016_SGHC_56/pdf
2016_SGHC_35.pdf,[2016] SGHC 35,[2016] SGHC 35,Criminal Law — Offences — Property — Criminal Breach of Trust,Criminal Law,Property offences,Property offence,Penal Code,True,Criminal Law — Offences — Property,https://www.elitigation.sg/gd/gd/2016_SGHC_35/pdf
2016_SGHC_27.pdf,[2016] SGHC 27,[2016] SGHC 27,Criminal Law — Statutory offences — Misuse of Drugs Act — Discretion of court not to impose sentence of death in certain circumstances,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_27/pdf
2016_SGHC_25.pdf,[2016] SGHC 25,[2016] SGHC 25,Criminal Procedure and Sentencing—Sentencing—Principles,Criminal Law,Sentencing,Sentencing principles,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Principles,https://www.elitigation.sg/gd/gd/2016_SGHC_25/pdf
2016_SGHC_26.pdf,[2016] SGHC 26,[2016] SGHC 26,Criminal Procedure and Sentencing — Charge — Alteration,Criminal Procedure,Charge,Alteration of charge,Criminal Procedure Code 2010 s 128,True,Criminal Procedure and Sentencing — Charge — Alteration,https://www.elitigation.sg/gd/gd/2016_SGHC_26/pdf
2016_SGHC_26.pdf,[2016] SGHC 26,[2016] SGHC 26,Criminal Procedure and Sentencing — Revision of Proceedings,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_26/pdf
2016_SGHC_26.pdf,[2016] SGHC 26,[2016] SGHC 26,Criminal Procedure and Sentencing — Sentencing,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_26/pdf
2016_SGCA_11.pdf,[2016] SGCA 11,[2016] SGCA 11,Criminal Law — Statutory offences — Misuse of Drugs Act,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGCA_11/pdf
2016_SGCA_11.pdf,[2016] SGCA 11,[2016] SGCA 11,Criminal Procedure and Sentencing — Appeal — Adducing fresh evidence,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2016_SGCA_11/pdf
2016_SGHC_20.pdf,[2016] SGHC 20,[2016] SGHC 20,Criminal Procedure and Sentencing — Sentencing — Date of commencement,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_20/pdf
